"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",15,"Salicaceae",2,67,"Salix","caprea","22/07/1872"," L.","0067_DIARD",,1,"rameau feuillu","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Salix caprea  L."
"Diard",15,"Salicaceae",2,68,"Salix","repens","28/06/1868","L.","0068_DIARD",,1,"rameau feuillu","complet","B",44,"Loire-Atlantique","La Baule-Escoublac","Escoublac","Dunes d'Escoublae",,,,"Salix repens L."
"Diard",15,"Salicaceae",2,"XX","Salix","russelliana","08/08/1869",,"XX_0005_DIARD",,2,"rameau feuillu","incomplet","M",44,"Loire Atlantique","La Chapelle-Basse-Mer","St Simon","St Simon",,,"non trouvé dans la flore; l'un des spécimens est en 2 parties","Salix russelliana"
"Diard",15,"Salicaceae",2,"XX","Salix","undulata","08/08/1869",,"XX_0006_DIARD",,2,"rameau feuillu","complet","M",44,"Loire Atlantique","La Chapelle-Basse-Mer","St Simon","St Simon",,"non trouvée dans la flore","non trouvé dans la flore","Salix undulata"
"Diard",15,"Salicaceae",2,"XX","Salix","rugosa","01/06/1874","Sm.","XX_0007_DIARD",,2,"rameau feuillu","incomplet","M",85,"Vendée","Ile de Noirmoutier","Vignes de Barbâtre","Vignes de Barbâtre à Noirmoutier",,"non trouvée dans la flore","non trouvé dans la flore","Salix rugosa Sm."
"Diard",16,"Myricaceae",1,69,"Myrica","gale","05/06/1868","L.","0069_DIARD",,1,"rameau feuillu + infrutescence","complet","B",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"Baie de la Verrière",,,,"Myrica gale L."
"Diard",18,"Betulaceae",1,70,"Betula","alba","12/07/1869"," Roth","0070_(1)_DIARD",,1,"rameau feuillu","complet","B",56,"Morbihan","Gâvre",,"Forêt du Gâvre",,"Betula alba",,"Betula pendula  Roth"
"Diard",18,"Betulaceae",1,70,"Betula","alba","05/07/1869"," Roth","0070_(2)_DIARD","var. pubescens",2,"rameau feuillu + chatons","complet","B",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,"Betula alba var pubescens",,"Betula pendula  Roth"
"Diard",18,"Betulaceae",2,72,"Alnus","glutinosa","03/08/1870","(L.) Gaertn.","0072_DIARD",,2,"rameau feuillu + chatons","incomplet","B",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,,"l'un des spécimens est en 2 parties","Alnus glutinosa (L.) Gaertn."
"Diard",19,"Corylaceae",1,73,"Corylus","avellana","23/07/1871","L.","0073_DIARD",,3,"rameau feuillu + infrutescence","complet","M",44,"Loire Atlantique","La Haie Fouassière",,"La Haye-fouassière",,,,"Corylus avellana L."
"Diard",19,"Corylaceae",2,74,"Carpinus","betulus","19/05/1872","L.","0074_DIARD",,1,"rameau feuillu + infrutescence","complet","B",44,"Loire Atlantique","Vallet","Le Pallet","Environs du Pallet",,,,"Carpinus betulus L."
"Diard",20,"Fagaceae",1,75,"Fagus","sylvatica","12/07/1869","L.","0075_DIARD",,1,"rameau feuillu","complet","B",56,"Morbihan","Gâvres",,"Forêt du Gâvre",,,,"Fagus sylvatica L."
"Diard",20,"Fagaceae",2,76,"Castanea","sativa","26/07/1874","Mill.","0076_DIARD",,1,"rameau feuillu + infrutescence ","complet","B",44,"Loire-Atlantique","Pornic","Pointe de St Gildas","Forêt de St Gildas",,"Castanea vulgaris Lam.",,"Castanea sativa Mill."
"Diard",20,"Fagaceae",3,79,"Quercus","sessiliflora","06/09/1868","Salisb.","0079_(1)_DIARD",,1,"rameau feuillu","complet","M",56,"Morbihan","Gâvres",,"Forêt du Gâvre",,,,"Quercus sessiliflora Salisb."
"Diard",20,"Fagaceae",3,79,"Quercus","sessiliflora","12/07/1869","Salisb.","0079_(2)_DIARD",,1,"rameau feuillu","complet","M",56,"Morbihan","Gâvres",,"Forêt du Gâvre",,,,"Quercus sessiliflora Salisb."
"Diard",20,"Fagaceae",3,80,"Quercus","pubescens","01/06/1874","Willd.","0080_DIARD",,2,"rameau feuillu","complet","B",85,"Vendée","Ile de Noirmoutier",,"Bois de la Chaise, Noirmoutier",,,,"Quercus pubescens Willd."
"Diard",20,"Fagaceae",3,77,"Quercus","ilex","01/06/1874","L.","0077_DIARD",,3,"rameau feuillu + chatons","complet","M",85,"Vendée","Ile de Noirmoutier",,"Noirmoutier",,,,"Quercus ilex L."
"Diard",20,"Fagaceae",3,78,"Quercus","pedunculata","06/09/1868","Ehrh.","0078_DIARD",,1,"rameau feuillu","complet","M",56,"Morbihan","Gâvre",,"Forêt du Gâvre",,,,"Quercus pedunculata Ehrh."
"Diard",20,"Fagaceae",3,81,"Quercus","toza","06/09/1868"," Bosc.","0081_DIARD",,1,"rameau feuillu + infrutescence ","complet","B",56,"Morbihan","Gâvre",,"Forêt du Gâvre",,,,"Quercus toza  Bosc."
"Diard",20,"Fagaceae",3,82,"Quercus","cerris","19/07/1874","L.","0082_DIARD",,1,"rameau feuillu + infrutescence ","incomplet","B",44,"Loire-Atlantique","Nantes","St Joseph","Environs de Bonneville près de St Joseph",,,,"Quercus cerris L."
"Diard",21,"Ulmaceae",1,"85 bis","Ulmus",,"28/04/1872",,"0085_bis_DIARD",,3,"rameau feuillu + infrutescence ","complet","B",44,"Loire-Atlantique","Maisdon-sur-Sèvre","L'Ebeaupin","L'Ebeaupin près de Vertou",,"Ulmus effusa Willd.",,"Ulmus carpinifolia"
"Diard",23,"Cannabaceae",1,87,"Humulus","lupulus","15/09/1879","L.","0087_DIARD",,1,"rameau feuillu + inflorescence","complet","B",44,"Loire-Atlantique","St-Jean-de-Boiseau",,"St Jean de Boiseau",,,,"Humulus lupulus L."
"Diard",24,"Urticaceae",1,88,"Urtica","pilulifera","28/06/1868","L.","0088_DIARD",,3,"plante entière sans racine","complet","B",44,"Loire Atlantique","Batz sur Mer",,"Batz",,,,"Urtica pilulifera L."
"Diard",24,"Urticaceae",1,90,"Urtica","urens","07/1867","L.","0090_DIARD",,1,"plante entière sans racine","complet","TB",44,"Loire-Atlantique","Rezé",,"Rezé",,,"couleurs excellentes !","Urtica urens L."
"Diard",24,"Urticaceae",1,91,"Urtica","dioïca","26/06/1870","L.","0091_DIARD",,1,"plante entière sans racine","complet","M",44,"Loire-Atlantique",,,"Les Herbières",,,"couleurs excellentes !","Urtica dioïca L."
"Diard",24,"Urticaceae",2,"92_bis","Parietaria","officinalis","07/05/1868","L.","0092_bis_DIARD",,3,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","La Morinière","La Morinière",,,,"Parietaria officinalis L."
"Diard",25,"Santalaceae",1,94,"Thesium","humifusum","07/06/1868","DC.","0094_DIARD",,4,"plante entière","complet","B",44,"Loire-Atlantique","Machecoul",,"Machecoul",,,,"Thesium humifusum DC."
